{34535}abiguominyinhang 阿比国民银行
{34534}abiyinhang 阿比银行
{34533}aerfa 阿尔法
{34532}aerfafengxian 阿尔法风险
{34531}aertedaofudaxue 阿尔特道夫大学
{65394}afuhanzhanzheng 阿富汗战争
{34529}aji 阿继
{34530}ajimide 阿基米德
{34527}amokesiwenjian 阿莫克斯文件
{65248}amusitedanzhengquanjiaoyisuo 阿姆斯特丹证券交易所
{34526}anakesagela 阿那克萨戈拉
{34525}asipilinshulianglilun 阿司匹林数量理论
{34524}azhuikao 阿缀考
{34520}aierlanfenchai 爱尔兰分拆
{34519}aijian 爱建
{34518}ailishegong 爱丽舍宫
{34522}ailuetebolanglilun 艾略特波浪理论
{34521}aimeilikesijijin 艾美利科斯基金
{34523}aipangzijijin 矮胖子基金
{34517}aishigufen 爱使股份
{34476}anbaifenlv 按百分率
{34475}anbaifenlvshouqu 按百分率收取
{34474}anbaifenlvshouqudefei 按百分率收取的费
{34473}anbangshoufeie 按镑收费额
{34472}anbaomizhuanlishenqingchuli 按保密专利申请处理
{34471}anbili 按比例
{34470}anbilifenpei 按比例分配
{34469}anbilifentan 按比例分摊
{34516}ancaigaoke 安彩高科
{34468}anchengben 按成本
{34467}anchengbenjijia 按成本计价
{34466}anchengbenjisuan 按成本计算
{34515}andaxin 安达信
{65211}andaxinkuaijishishiwusuo 安达信会计师事务所
{34465}andangshijiagejisuan 按当时价格计算
{34464}andangshishijiajisuan 按当时市价计算
{34463}anfalvguiding 按法律规定
{34462}anfengongyou 按份共有
{34461}anfukuandangrijiage 按付款当日价格
{34460}anfukuandangrijiageji 按付款当日价格计
{34477}anganggufen 鞍钢股份
{34459}angudingjiagejisuan 按固定价格计算
{34458}angudingjiagejisuande 按固定价格计算的
{34457}angudingshijiajisuan 按固定市价计算
{34375}anhangyehuafen 按行业划分
{34514}anhuiheli 安徽合力
{34513}anhuishuili 安徽水利
{34456}anhuobijisuan 按貨幣計算
{34455}anjibiepansheng 按级别攀升
{34452}anjidufafang 按季度发放
{34454}anjihua 按计划
{34453}anjihuade 按计划的
{34478}anjisuanxulie 氨基酸序列
{34451}anjiyewutongji 按季业务统计
{34450}anjiazhijisuan 按价值计算
{34355}anjianchengbanrenyuan 案件承办人员
{34448}anjie 按揭
{34447}anjiecaichan 按揭财产
{34446}anjiedaikuan 按揭贷款
{34445}anjiedaikuananpai 按揭贷款安排
{34444}anjiedaikuanqiju 按揭贷款契据
{34443}anjiediya 按揭抵押
{34442}anjiejiekuan 按揭借款
{34441}anjiejin 按揭金
{34440}anjielilv 按揭利率
{34439}anjielixi 按揭利息
{34438}anjieren 按揭人
{34437}anjietiaojian 按揭条件
{34436}anjietiaojianweiyuebaozheng 按揭条件违约保证
{34435}anjieyouxianqingchang 按揭优先清偿
{34434}anjiezhengquan 按揭证券
{34433}anjiezhengquanhua 按揭证券化
{34449}anjiezhijisuan 按價值計算
{34432}anjin 按金
{34431}anjingejisuan 按净额计算
{34430}anjingejisuan 按淨額計算
{34512}anjugongcheng 安居工程
{34354}anjuan 案卷
{34353}anjuanjia 案卷夹
{34352}anjuanjiaojie 案卷交接
{34351}anjuanshenji 案卷审计
{34350}anjuanxinxi 案卷信息
{34349}anjuanzhuangtai 案卷状态
{34429}anjueduijiazhijisuan 按绝对价值计算
{34427}anjueduijiezhijisuan 按絕對價值計算
{34426}anjueduixianjinshuozhi 按絕對現金數值
{34428}anjueduizhijisuan 按绝对值计算
{34511}ankaikeche 安凯客车
{34425}ankaipanjia 按开盘价
{34424}ankaishipan 按开市盘
{34346}ankui 暗亏
{34423}anlaofenpei 按劳分配
{34348}anli 案例
{34510}anlian 安联
{34345}anlian 暗恋
{34509}anlianjituan 安联集团
{34422}anmeiyiyingbangzhengshoude 按每一英镑征收的
{34421}anmianzhi 按面值
{34420}anmianzhijisuan 按面值计算
{34419}anmianzhizhejiafaxingde 按面值折价发行的
{34418}anmingyijiazhijisuan 按名义价值计算
{34417}anmingyijiezhijisuan 按名義價值計算
{34416}annian 按年
{34415}annianzhesuan 按年折算
{65427}anniu 按钮
{34414}anpanjia 按盘价
{34344}anpanjiaoyi 暗盘交易
{34343}anpanshichang 暗盘市场
{34413}anpeijiajisuan 按赔价计算
{34412}anpiaomian 按票面
{34411}anpiaomiane 按票面额
{34410}anpiaomianfaxing 按票面发行
{34409}anqifukuan 按期付款
{34508}anqijiaomu 安琪酵母
{34408}anqizhifu 按期支付
{34507}anquanbianji 安全边际
{34506}anquandu 安全度
{34505}anquanfudu 安全幅度
{34504}anquanhuishou 安全回收
{34503}anquanjibie 安全级别
{34502}anquankucun 安全库存
{34501}anquantouziguize 安全投资规则
{34500}anquantouziyuanze 安全投资原则
{34499}anquanxishu 安全系数
{34498}anquanxing 安全性
{34497}anquanyaoshi 安全钥匙
{34496}anquanyunzuo 安全运作
{34495}anquanzeren 安全责任
{34407}anrenjisuan 按人计算
{34406}anrenjisuandebuzhujin 按人计算的补助金
{34405}anrenkoupingjunjisuan 按人口平均计算
{34404}anrenkoupingjunjisuande 按人口平均计算的
{34403}anri 按日
{34401}anshengchanyaosuchengbenji 按生产要素成本计
{34400}anshenghuofeiyongtiaozheng 按生活费用调整
{34402}anshengshuijiagejisuan 按升水价格计算
{34341}anshi 暗室
{34342}anshi 暗市
{34393}anshichangjiagejisuande 按市场价格计算的
{34392}anshichangjiagujia 按市场价估价
{34398}anshijiniandujisuan 按实际年度计算
{34391}anshijiafaxing 按市价发行
{34390}anshijiajisuanchae 按市价计算差额
{34389}anshijiajizhi 按市价计值
{34399}anshijiaona 按时缴纳
{34395}anshiyongnianxian 按使用年限
{34394}anshiyongnianxianzhejiufa 按使用年限折旧法
{34397}anshizhijisuan 按实值计算
{34396}anshizhijisuan 按實值計算
{34388}anshizhijisuan 按市值计算
{34386}anshougurenshupingjunji 按受雇人数平均计
{34387}anshoushipan 按收市盘
{34385}ansuoyouzhihuafen 按所有制划分
{34494}antaijituan 安泰集团
{34493}antaikeji 安泰科技
{34492}antaishouxinyouxiangongsi 安泰授信有限公司
{34491}antianxintuo 安田信托
{34490}antianxintuoyinhang 安田信托银行
{34384}antieshuijiagejisuan 按贴水价格计算
{34383}antongzhi 按通知
{34489}antushengtonghuajingxuan 安徒生童话精选
{34488}anweixin 安慰信
{34487}anweixinhan 安慰信函
{34382}anwujiashuipingtiaozhengde 按物价水平调整的
{34381}anwujiazhishutiaozheng 按物价指数调整
{34380}anximufenlei 按细目分类
{34379}anxianshijiagejisuan 按现时价格计算
{34378}anxianshishijiajisuan 按现时市价计算
{34377}anxiangduijiezhijisuan 按相對價值計算
{34376}anxiangtongbili 按相同比例
{34486}anxinsirenyinxingyouxian 安新私人銀行有限
{34485}anxinxintuo 安信信托
{34374}anxingzhifenlei 按性质分类
{34373}anxufenpei 按需分配
{34484}anyanggangtie 安阳钢铁
{34372}anyaoqiusuishizhifude 按要求随时支付的
{34371}anyaosuchengbenjisuan 按要素成本计算
{34370}anyijiajisuan 按溢价计算
{65452}anyijiunianjiage 按一九年价格
{34369}anyingyeezhengshoudeshui 按营业额征收的税
{34483}anyong 安永
{34482}anyongkuaijishishiwu 安永会计师事务
{34481}anyongkuaijishishiwusuo 安永会计师事务所
{34368}anyongtufenlei 按用途分类
{34347}anyou 案由
{34480}anyuangufen 安源股份
{34340}anyuanyin 暗原因
{34366}anyue 按月
{34367}anyuedingshijian 按约定时间
{34365}anyueji 按月计
{34364}anzengzhiejisuan 按增值額計算
{34363}anzhaohetong 按照合同
{34362}anzhaotongzhishudeyaoqiu 按照通知书的要求
{34361}anzhaotongzhishudeyaoqiujinxingxiugai 按照通知书的要求进行修改
{34360}anzhaozhengquanjiaoyiguanli 按照证券交易惯例
{34359}anzhekoufaxing 按折扣發行
{34356}anzhidinghuojiaojiajiawei 按指定或较佳价位
{34357}anzhinengfenlei 按职能分类
{34358}anzhizhengshui 按值征税
{34339}anzhongtoubiaochujia 暗中投标出价
{34479}anzhuangfei 安装费
{34338}angguidejiage 昂贵的价格
{34331}aodaliyaqiquanshichang 澳大利亚期权市场
{34330}aodaliyazhengquanjiaoyi 澳大利亚证券交易
{34337}aodilixianling 奥地利先令
{34336}aodilizhongyanghezuoyinhang 奥地利中央合作银行
{34335}aokelanzhengquanjiaoyisuo 奥克兰证券交易所
{34329}aokema 澳柯玛
{34328}aomendasanbapaifang 澳门大三巴牌坊
{34334}aomuzhenlijiao 奥姆真理教
{34333}aosiluzhengquanjiaoyisuo 奥斯陆证券交易所
{34327}aositeluonixiyayuyanxue 澳斯特罗尼西亚语言学
{34326}aoxinyinhang 澳新银行
{34325}aoyuan 澳元
{34324}aoyuanzhaiquan 澳元债券
{34332}aoyungainian 奥运概念
{34323}aozhouyaogun 澳洲摇滚
{34322}aozhouyegou 澳洲野狗
{34283}bachubaijia 罢黜百家
{34282}bagong 罢工
{34316}bajisitanyinhang 巴基斯坦银行
{34315}bakelaiyinhang 巴克莱银行
{34291}bakong 把控
{34296}balaiheyong 拔来何用
{34314}balibayinhang 巴黎巴银行
{34313}baligongyue 巴黎公约
{34312}baligongyuechengyuanguo 巴黎公约成员国
{34311}baligongyuediyueguo 巴黎公约缔约国
{34310}baligupiaojiaoyisuo 巴黎股票交易所
{34309}baliguominyinhang 巴黎国民银行
{34308}balikexueyuanyuanshi 巴黎科学院院士
{34290}balirunzaitouzi 把利润再投资
{34307}balishengmuyuan 巴黎圣母院
{34306}balizhengquanjiaoyisuo 巴黎证券交易所
{34281}balingweiji 霸菱危机
{34305}balunxinxinzhishu 巴伦信心指数
{34303}baluokeliuxing 巴洛克流行
{34302}baluokeshi 巴洛克式
{34304}baluowolisi 巴罗沃利斯
{34295}banishenshangyigenhanmao 拔你身上一根汗毛
{34321}bapian 八篇
{34289}barenshidemouyigetezheng 把认识的某一个特征
{34301}basaierbiaozhunjisuanfang 巴塞尔标准计算方
{34300}basaierweiyuanhui 巴塞尔委员会
{34299}basaierzhifuweiyuanhui 巴塞尔支付委员会
{34320}bashieryazhouyouxiangong 八十二亚洲有限公
{34319}bashieryinhang 八十二银行
{34298}bashigufen 巴士股份
{34318}bashizhonghao 八十种好
{34294}batashenshangyigenhanmao 拔他身上一根汗毛
{34280}bawangtiaokuan 霸王条款
{34288}bawodaju 把握大局
{34287}bawojiyu 把握机遇
{34286}bawoshijian 把握时间
{34297}baxiyinhang 巴西银行
{34285}bayewu 把业务
{34317}bayigangtie 八一钢铁
{34293}bayimao 拔一毛
{34292}bayimaoerlitianxia 拔一毛而利天下
{34284}bazhe 把这
{65326}bazijideshiqingbanhao 把自己的事情办好
{34237}baibaxiongdi 拜把兄弟
{34259}baida 百大
{34258}baidatoupiao 百大投票
{34279}baiding 白丁
{34257}baidu 百度
{34256}baifenbi 百分比
{34255}baifenbishehaofa 百分比折耗法
{34254}baifendian 百分点
{34253}baifenlvbaobiao 百分率报表
{34252}baifenlvshehaofa 百分率折耗法
{34251}baifenzhiyijingjiren 百分之一经纪人
{34278}baige 白鸽
{34277}baigegufen 白鸽股份
{34250}baihua 百花
{34240}baijiazi 摆架子
{34276}baijin 白金
{34275}baijinka 白金卡
{34244}baikelaiguojiyinhang 柏克莱国际银行
{34249}bailidianqi 百利电气
{34248}bailiangufen 百联股份
{34274}bailingfanzui 白领犯罪
{34273}bailingzhiyuan 白领职员
{34272}baimafeima 白马非马
{34271}baimawangzi 白马王子
{34270}baimaogufen 白猫股份
{34236}bainian 拜年
{34235}baipiao 拜票
{34239}baipuer 摆谱儿
{34247}bairenyixia 百人以下
{34268}baisehangqingbiao 白色行情表
{34269}baisenongye 白色农业
{34267}baishouqijia 白手起家
{34246}baisitepingji 百斯特评级
{34266}baitiao 白条
{34238}baituopinkun 摆脱贫困
{34245}baixingriyongjidao 百姓日用即道
{34265}baiye 白页
{34264}baiyiqishi 白衣骑士
{34263}baiyin 白银
{34262}baiyinxingqisan 白银星期三
{34261}baiyunjichang 白云机场
{34260}baiyunshan 白云山
{34234}baizhantingshi 拜占庭式
{34212}banbiyuanyin 半闭元音
{34211}banbiandongchengben 半变动成本
{34233}banbufalv 颁布法律
{34210}bancang 半仓
{34209}bancangcaozuo 半仓操作
{34208}banchengpin 半成品
{34207}banchengpinchengben 半成品成本
{34206}banduichongqiquan 半对冲期权
{34205}banegupiao 半额股票
{34232}banfazhuanlizhengshu 颁发专利证书
{34204}banfeizizhu 半费资助
{34203}banfuyin 半辅音
{34227}bangongshi 办公室
{34202}banguanfangjigou 半官方机构
{34201}banjiachushou 半价出售
{34200}bankaiyuanyin 半开元音
{34199}banlazigongcheng 半拉子工程
{34226}banlidengjishouxu 办理登记手续
{34225}banlidengjishouxutongzhishu 办理登记手续通知书
{34224}banlihuifuquanlishouxu 办理恢复权利手续
{34223}banlihuifuquanlishouxubuzhengtongzhishu 办理恢复权利手续补正通知书
{34222}banlihuifuquanlishouxutongzhishu 办理恢复权利手续通知书
{34221}banlijiaofeishouxu 办理缴费手续
{34220}banlijinruzhongguoguojiajieduanshouxu 办理进入中国国家阶段手续
{34219}banlishouxubuzhengtongzhishu 办理手续补正通知书
{34218}banliwenjianfubenqingqiu 办理文件副本请求
{34217}banliwenjianfubenqingqiushu 办理文件副本请求书
{34198}bannianbao 半年报
{34197}bannianchanggui 半年常规
{34196}bannianjiesuan 半年结算
{34195}bannianjingjibaogao 半年经济报告
{65223}bannianxian 半年线
{34231}banqianhu 搬迁户
{34230}banquan 版权
{34229}banquanbiaoji 版权标记
{34216}banshiyuan 办事员
{34228}banshui 版税
{34215}banshuidating 办税大厅
{34214}banshuiting 办税厅
{34213}banshuiyuan 办税员
{34190}bansuiyuyan 伴随语言
{34189}bansuiyuyantezheng 伴随语言特征
{34188}bansuiyuyanxue 伴随语言学
{34187}bansuizhaiquan 伴随债券
{34194}banxieyin 半谐音
{34186}banyanzhongyaojuese 扮演重要角色
{34193}banyuanyin 半元音
{34192}banzhigupiao 半值股票
{34191}banzhimindi 半殖民地
{34182}bangbangtangzhanlue 棒棒糖战略
{34183}bangdakuan 傍大款
{34181}bangqiuyundongjizhe 棒球运动记者
{34185}bangzhubierenjuewu 帮助别人觉悟
{34184}bangzhutouzizhe 帮助投资者
{34116}baobenfenxi 保本分析
{33891}baobiao 报表
{33889}baobiaobiaoshi 报表表式
{33888}baobiaofenxi 报表分析
{33890}baobiaozhangmu 报表账目
{34115}baocang 保藏
{34113}baocangbianhao 保藏编号
{34112}baocangdanwei 保藏单位
{34111}baocangriqi 保藏日期
{34110}baocangzhengming 保藏证明
{33887}baocha 报查
{33886}baochalian 报查联
{34105}baochi 保持
{34104}baochichangwang 保持畅旺
{34103}baochiguoyougu 保持国有股
{34102}baochihuobiwending 保持货币稳定
{65324}baochijinrongwending 保持金融稳定
{65325}baochijingjiwending 保持经济稳定
{34101}baochililvbubian 保持利率不变
{34100}baochilianghao 保持良好
{34099}baochipingheng 保持平衡
{34098}baochipinghengxing 保持平衡性
{34097}baochishouzhipingheng 保持收支平衡
{34096}baochitouzizhedeliyi 保持投资者的利益
{34095}baochiwending 保持稳定
{65323}baochizibenshichangwending 保持资本市场稳定
{33885}baochou 报酬
